Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10n","C_0402_1005Metric",34.900000,-2.800000,90.000000,top
"C2","10u/10V","C_0402_1005Metric",66.200000,-3.300000,0.000000,top
"C3","10u/10V","C_0402_1005Metric",78.200000,-5.500000,90.000000,top
"C4","10u/10V","C_0402_1005Metric",66.200000,-13.000000,0.000000,top
"C5","100n","C_0402_1005Metric",66.200000,-5.100000,0.000000,top
"C6","10u/10V","C_0402_1005Metric",61.500000,-54.500000,90.000000,top
"C7","22u/10V","C_0402_1005Metric",61.500000,-57.000000,90.000000,top
"C8","22u/10V","C_0402_1005Metric",61.500000,-59.000000,90.000000,top
"C9","100n","C_0402_1005Metric",61.500000,-61.000000,90.000000,top
"C10","10u/10V","C_0402_1005Metric",61.500000,-66.000000,90.000000,top
"C11","22u/6.3V","C_0402_1005Metric",61.500000,-68.000000,90.000000,top
"C12","100n","C_0402_1005Metric",61.500000,-70.000000,90.000000,top
"C13","1u/50V","C_0402_1005Metric",22.800000,-62.500000,90.000000,top
"C14","4.7u/10V","C_0402_1005Metric",12.000000,-63.000000,0.000000,top
"C15","100n","C_0402_1005Metric",14.000000,-63.000000,0.000000,top
"C16","220n","C_0402_1005Metric",19.000000,-63.000000,0.000000,top
"C20","10u","C_0402_1005Metric",16.000000,-42.000000,0.000000,top
"C21","100n","C_0402_1005Metric",16.000000,-40.000000,0.000000,top
"C22","220p","C_0402_1005Metric",19.000000,-45.500000,0.000000,top
"C23","220p","C_0402_1005Metric",19.000000,-47.500000,0.000000,top
"C24","1u","C_0402_1005Metric",52.000000,-30.500000,90.000000,top
"C25","100n","C_0402_1005Metric",54.000000,-30.500000,90.000000,top
"C26","100n","C_0402_1005Metric",54.000000,-37.500000,0.000000,top
"C27","100n","C_0402_1005Metric",77.000000,-13.200000,90.000000,top
"C102","18pF","C_0402_1005Metric",15.316000,-13.999000,0.000000,top
"C103","18pF","C_0402_1005Metric",15.316000,-17.301000,0.000000,top
"C105","100nF","C_0402_1005Metric",27.000000,-34.500000,0.000000,top
"C106","10uF","C_0805_2012Metric",31.000000,-34.500000,0.000000,top
"C107","22u/10V","C_0805_2012Metric",27.400000,-9.700000,90.000000,top
"C108","22u/10V","C_0805_2012Metric",29.600000,-9.700000,90.000000,top
"C109","22u/10V","C_0805_2012Metric",31.800000,-9.700000,90.000000,top
"D1","RED CHARGE","LED_0402_1005Metric",72.200000,-3.200000,90.000000,top
"D2","GREEN POWER","LED_0402_1005Metric",75.700000,-3.200000,90.000000,top
"D3","60V Schottky","D_SOD-123F",21.000000,-58.000000,90.000000,top
"FB1","600R@100MHz","L_0402_1005Metric",16.000000,-45.500000,0.000000,top
"FB2","600R@100MHz","L_0402_1005Metric",16.000000,-47.500000,0.000000,top
"J1","USB Micro-B data/power","USB_Micro-B_Molex-105017-0001",18.500000,-2.600000,0.000000,top
"J5","EA WF030-39S","EA_WF030_39S",49.500000,-20.000000,90.000000,top
"J9","104031-0811","microSD_HC_Molex_104031-0811",57.000000,-46.000000,90.000000,top
"L1","0.47uH XFL4015","XFL4015",53.000000,-58.000000,90.000000,top
"L2","2.2uH >1.5A","L_APV_ANR3012",54.000000,-68.000000,90.000000,top
"L3","10uH 1A","LQH43PN",12.000000,-59.500000,0.000000,top
"R3","0R","R_0402_1005Metric",31.500000,-2.800000,90.000000,top
"R5","1.78k 1%","R_0402_1005Metric",64.500000,-5.000000,90.000000,top
"R6","3.09k 1%","R_0402_1005Metric",64.500000,-7.000000,90.000000,top
"R7","3.01k 1%","R_0402_1005Metric",64.500000,-9.000000,90.000000,top
"R8","46.4k 1%","R_0402_1005Metric",64.500000,-11.000000,90.000000,top
"R10","2.2k","R_0402_1005Metric",70.500000,-3.200000,90.000000,top
"R11","2.2k","R_0402_1005Metric",74.000000,-3.200000,90.000000,top
"R12","100k","R_0402_1005Metric",69.500000,-13.200000,90.000000,top
"R13","100k","R_0402_1005Metric",71.200000,-13.200000,90.000000,top
"R14","806k 1%","R_0402_1005Metric",56.000000,-61.500000,0.000000,top
"R15","91k 1%","R_0402_1005Metric",58.000000,-61.500000,0.000000,top
"R16","187k 1%","R_0402_1005Metric",54.000000,-54.000000,0.000000,top
"R17","100k 1%","R_0402_1005Metric",56.000000,-54.000000,0.000000,top
"R18","100k","R_0402_1005Metric",60.000000,-62.500000,90.000000,top
"R20","100k","R_0402_1005Metric",54.000000,-62.500000,0.000000,top
"R21","100k","R_0402_1005Metric",57.000000,-71.000000,0.000000,top
"R22","10R 1%","R_0402_1005Metric",21.000000,-63.000000,0.000000,top
"R23","100k","R_0402_1005Metric",17.000000,-65.000000,0.000000,top
"R26","100k","R_0402_1005Metric",17.500000,-36.000000,90.000000,top
"R27","33R","R_0402_1005Metric",52.000000,-33.000000,0.000000,top
"R28","33R","R_0402_1005Metric",54.000000,-33.000000,0.000000,top
"R29","33R","R_0402_1005Metric",56.000000,-33.000000,0.000000,top
"R30","33R","R_0402_1005Metric",58.000000,-33.000000,0.000000,top
"R31","10k","R_0402_1005Metric",60.000000,-33.000000,0.000000,top
"R32","10k","R_0402_1005Metric",52.000000,-37.500000,0.000000,top
"R33","1M 1%","R_0402_1005Metric",73.500000,-13.200000,90.000000,top
"R34","330k 1%","R_0402_1005Metric",75.200000,-13.200000,90.000000,top
"R102","1M","R_0402_1005Metric",15.316000,-15.650000,0.000000,top
"R104","10k","R_0402_1005Metric",46.600000,-37.200000,0.000000,top
"R105","10k","R_0402_1005Metric",49.000000,-35.500000,0.000000,top
"R106","10k","R_0402_1005Metric",49.000000,-37.200000,0.000000,top
"R107","10k","R_0402_1005Metric",46.600000,-33.800000,0.000000,top
